true\pred,drinking,eating,interacting_with_phone,no_violation,reading_newspaper,talking_on_phone,working_on_laptop
drinking,9,0,0,0,0,1,0
eating,1,9,0,0,0,0,0
interacting_with_phone,0,1,8,0,0,0,1
no_violation,0,0,1,120,0,0,0
reading_newspaper,0,0,0,0,10,0,0
talking_on_phone,0,0,0,0,0,10,0
working_on_laptop,0,0,0,5,0,0,5
